1,Не рекомендую. Буду менять по гарантии.
4,Пришла за 3 дня. Хорошая подсветка. Приятная цена, пользуюсь более месяца не каких поломок нет - рекомендую.
2,Через 2 месяца разболталось колесико, не рекомендую
5,Супер мишка ! Прийшла за 2 дні. Дуже приємна на дотик.
1,обычная мышка, габариты под мужскую руку, только вот собрана из какого-то мусора, через пару дней задняя часть начала скрипеть прошло две недели, разболталось колесико и прокрутка стала прыгать вверх-вниз - все, приехали возвращать по гарантии нет смысла, т.к. пересылка выйдет в +100 грн.
4,В принципе покупкой доволен, юзаю уже пару дней, пока не жалею
5,Под мою руку идеально подходит. Вся мышь светится зеленым светом, вроде бы не отвлекает. По весу средняя. Мне нравится.
4,Сама мишка класна. При отриманні на відділенні нової пошти не розпаковував і оглянув поверхово, а вдома виявив, що одна сіточка відвалилася, більше того її не було зовсім. На роботу це ніяк не впливає, а от вигляд погіршує. Чия вина? Нова пошта чи розетка, не став розбиратися, але над сервісом треба працювати. Раніше такого не виявляв. Хоча купую в розетці давно. Для тих, хто купує порада, перевіряйте уважно товар!!!
