1,Сломалась в течении месяца, думайте сами стоит ли брать
4,Использую два года. Работает хорошо, изредка подлагивает курсор, но за такую цену - грех жаловаться)
4,Вчера получил мышь, простая, не маленькая, очень удобно садится на всю ладонь.
4,Хорошая мышь для работы
5,Мышь хорошая, если брать в офис или домой пожилому родственнику. Если уж выбирать для себя, то стоит посмотреть модели пофункциональней. Хотя, если уж сравнивать с другими подобными манипуляторами, то соотношение цены - качества на высоте!
5,Мышь для офиса
4,мышь хорошая, примерно за месяц работы проблем не было.
