5,Норм. мышка за эти деньги. Все работает, не виснет.Нужно привыкнуть к спящему режиму, в предыдущей не было, будится обычным кликом.
4,Купила для офиса: хорошая удобная мышка - юркая, яркая и мягкая (оказалось не пластик, а селикон). Отлично работает без коврика, есть куда спрятать сенсор. К ней еще подставка под кисть прилагается. Использую для ноутбука. Одним словом - обычная веселая удобная мышка. Доставили быстро.
