1,Сегодня забрал эту мышку из розетки. Принес домой, включил - не работает! Светится, драйвера установились, кнопки работают, а указатель не двигается. Во втором компе такая же картина. Внешне мышь довольно красивая, крупная, в моей не маленькой руке лежит удобно. Поверхность сделана из приятного на ощупь матового пластика, но мне кажется что эта "матовость" не долговечна. Кнопки и клавиши нажимаются четко, с приятным звуком. Колесико широкое, прокручивается с небольшим усилием, плавно. Хотелось бы более явную "трещотку" на колесико, а то при прокрутке в играх можно ошибиться. Шнурок в матерчатой оплетке, зеленый. Цвет не очень в тему, но зато среди десятка проводов найти мышь не проблема :)
5,Выбор пал именно на эту модель, привлекла она меня дизайном и наличием 7 кнопок, для любителей игр эту мышь рекомендую!
5,тихая шустрая удобная
5,Красивая и быстрая. Мне очень нравится!
5,Красивая мишка 3 день работае все норм
1,Пришла быстро и качественный брак! На второй день перестала светиться! Боюсь через неделю вообще перестанет работать
5,За 160грн. мишка бомба
5,Как переключать Dpi?
4,Мишка за таку ціну працює дуже добре поки що , кабель не 2 м як заявлено , а 1.5 м.
