3,Обычная мышь.
3,Не знаю как в других мышках этой модели, а у меня левая кнопка подглючивает. Кликаешь раз, а получается двойной щелчок. Трудно работать, буду новую покупать.
3,Цена-качество. обычная мышка
2,не знаю як у кого, а у нас вона померла через місяць
2,Не берите,она того не стоит! Выброшенные деньги+нестандартные батарейки (мини-пальчиковые)
1,Мышка полное разочарование. Засунул в порт usb и тут же рассыпалась. Не покупайте. Лучше добавьте 70 грн и возьмите что-то получше
4,За свои деньги отличная мышка. Удобная формой. Качественно собранна, ничего не скрепит.
1,Покупкой не доволен, хочу вернуть
4,Батарейки могли бы и положить.
5,хорошая мышка по хорошей цене, очень удобно пользоваться
