1,Мышь не обнаруживается.
5,На планшет на windows 8.1 пойдёт?
1,Брак.
5,Мышка работает отлично. Связь не пропадает. Подключается быстро. Тестил пока только на Win10.
5,Сопрягаеться мыш быстро с планшетом! Работает отлично! Мне всё нравиться!!! Большое спасибо!!
5,Все пишут тоне могу подключить то еще что то, получила сегодня подключается легко никаких дров устанавливать не надо. Покупала мужу в подарок так как он очень хотел блютуз мишку. В ней соответсвует цена качеству.
1,Мыша активирована по вкладышу в коробке. Установлены дрова.Работают все кнопки и колесико. Светодиод не работает. Комментарии по поводу замени батарейки и др. не принимаются. Товар БРАК.
