4,Хотелось бы видеть поддержку игр Pubg, батлфилд 1. купил вчера мышку в другом магазине, пока все нравится, надеюсь будет служить хотя бы заявленных 24 месяца.
4,Мишка варта уваги. Якщо коротко, то: Екран цікава штука, але абсолютно безкорисна, написав свій нік і все. Вібро надзвичайно корисна штука, поставив на закінчення патронів, не один раз рятувало Вага перший день рука навіть боліла, але потім звикаєш і легші не признаєш Дизайн і матеріали на висоті Форма підходить для великих рук Підсвітка цікава штука, але під час гри ніхто на неї дивитись не буде. Просто як декорація коли комп включений. Кабеля в мене тепер тільки короткий, він треться об коврик і трохи стирається. Явна провина виробника Решта все ок
5,Классная мышь, очень хорошо сидит в руке, отлично позиционирует прицел в играх. Крутой дизайн. Вибро в КС достаточно полезный (начало раунда, заканчиваются патроны, и т.д.). Но вес, всё-таки для меня тяжеловат, при длительных сессиях рука начинает уставать от него. По качеству, всё ок, после 3-х месяцев использования всё как у новой.
4,В принципе хорошая мишь , левая-правая кнопки не люфтят , клик нормальный.
5,Хорошая мышь, но её особенности (вибромотор и экран) не используются сейчас. Совсем не тяжелая, как читал в некоторых обзорах.
4,Когда снова появится в наличии?
