4,Хороший вариант за нормальную цену.
5,Эргономика на высоте!!!
4,по пяти бальной шкале на 4.
3,Мышка за свою цену отличная, по одеялу и других разных поверхностям ходит довольно не плохо, удобно лежит в руке, не тяжелая и приятная с виду, у меня (Салатовая с черным) Но есть очень большой минус как для меня, она на ровной поверхности не лежит ровно! (((( и если положить её на ровную поверхность и начать болтать, она болтается а не лежит на мертво как это должно быть(((( для игр думаю не подойдет((( Так что извини меня Л2 и КС.
5,Мышка просто супер!Рекомендую размер мышки идеален для любой работы.
