4,скрол подвел
5,Вопрос, как работает мышь на цветны коврах?
3,Мышка очень большая, без нормального места для обхвата мизинцем, как мышках рейзер например. Понравилось только что она без ничего лишнего, с хорошим сенсором как в райвал 300 и клики громкие и крепкие.
5,Идеальная мышь для любых задач, удобная настройка. Кстати забавно регулируется высота отрыва(при минимальной 1мм ОЧЕНЬ плохо реагирует на тряпочный коврик QcK и не всегда сдвигается курсор, при средней 1.5мм и выше все становится нормально) Настройка герцовки и т.п В общем классная мышь с идеальной формой, лучшей оптикой AVAGO 3310 и отсутствием акселерации. Рекомендую к покупке, хотя цена оставляет желать лучшего.
5,Хорошая мышь без лишних кнопок и ненужного яркого дизайна. Мягкие клики, удобный переключатель дипиай.
5,Не люблю кабель в оплетке. Тут её нету, так что для меня это "+". Симпатичные цвета при смене DPI. Удобная, не легкая и не тяжелая. 2 больших скользящих элемента и 2 запасных. Красивая на вид. В общем рекомендую! Насчет долговечности пока не скажу, купил пару дней назад. До этой были Logitech MX510, Microsoft 1.1
