1,Не работает подсветка справа. Два раза отправлял мышь на замену и два раза присылали товар с тем же браком. На третий раз отправлять уже не буду, нет смысла, наверно бракованная вся партия. Остался негативный осадок.
5,Добротная и недорогая, мышь считается игровой, но я далеко не геймер и меня она привлекла своей функциональностью
1,Прочел отзывы перед покупкой, но все же решил пойти на риск. Зря. Брак, качеством недоволен, понесу на возврат и в этот раз проверю сразу в магазине.
5,Тяжеленькая (рука от нее не устает), идеально ложится в руку, движение указателя четкое и плавное!
5,Хорошее качество, в руке приятна и не маленькая! Спасибо Розетка))
5,Работает хорошо, но цвет в живую не такой яркий, главное не сливается со столом.
5,Красивая и быстрая, все кнопки работают
1,Нет функции обновить прошлый отзыв поэтому оставлю новый. Через полтора месяца стало сильно глючить колесо - скроллить страницы очень неудобно, крутишь колесо в одно сторону а страница дергается вверх-вниз, в другую сторону то же самое. Приходится двигать ползунок который справа. Вкупе с тем что сразу не работала подсветка справа можно сказать что достался мне полный брак
5,Реагирует идеально, без коврика все хорошо работает
5,Нам наверное повезло, но мышка приехала без брака - вся светится равномерным зелёным цветом. Племянник был в восторге, только ей теперь и играет
5,Приехала целая, брака нет. В руке удобная и подсветка красивая
4,Все работает норм. Очень прикольный дизайн, мышку удобно держать в руке. Я заядлый геймер и много сижу за компом, мне нравится, что кнопки легко нажимаются и мышка быстро реагирует на движения руки. Дополнительные боковые кнопки тоже очень удобны. В подключении мышь проста - через стандартный usb-вход.
4,Внутри вроде ничего не болтается, но подсветка с правой стороны не работает, как у многих, но я уже был к этому готов) Видимо это массовый брак и поэтому цена небольшая. В остальном все работает без замечаний, DPI переключается, все 6 кнопок функционируют, очень удобно сидит в руке, размер не маленький и вообще выглядит красиво даже без этой правой подсветки, так что думаю с таким недостатком смириться можно. Да и только из-за этого сдавать в сервис нет смысла. К сожалению левая подсветка не гаснет при выключении питания компьютера
1,Звук болтания из посылки был слышен еще до распаковки, при первом включении стало понятно что у меня в руках очередной брак, подсветка очень слабо работает и то только с одной левой стороны, товаром не доволен, хочу обмен или возврат денег!
2,Как по мне, то не нужно покупать такую мышку.
2,Мышь работает но в ней что то болтается мне это очень не понравилось
