3,На сайті було вказано - маленька, а насправді стандартна
5,Маленькая, удобная.
3,Когда поставил батарейки они сильно нагрелись, пришлось обмотать изоляцией что бы они не касались друг к другу. Сейчас вроде бы нормально работает.
5,Отличная мышь. Стоит своих денег.
5,Заказала на Розетке днем, а вечером уже получала удовольствие от покупки. Полный отзыв на мышь Gemix RIO : irecommend.ru/content/bystraya-besprovodnaya-malyshka-dlya-noutbuka
