1,Чес про бракованные партии и тд. Работает и сейчас Глючит двойной клик Месяц не пользовался - работает отлично неделю - потом опять двойной клик.
5,Все пишут про "двойной клик", может вам попалась бракованная партия... У меня эта мышь работает отлично. Скажу так - это самая удобная мышь из всех, которые я когда-либо держал в руках.
2,Если дороги нервы - не берите
1,Двойной щелчок очень мешает в работе. Буду покупать новую, эту не советую. Коврик одноразовый и вонючий.
5,мишка норм хороший коврик в подарунок
